date;time;temp@3.5;umid@3.5
2015-09-23;19:30;30.64;46.51
2015-09-23;19:36;30.0;46.51
2015-09-23;19:42;30.64;46.86
2015-09-23;19:48;32.25;47.03
2015-09-23;19:54;30.32;47.38
2015-09-23;20:00;30.32;47.2
2015-09-23;20:12;30.32;47.55
2015-09-23;20:18;30.32;47.9
2015-09-23;20:30;30.64;48.07
2015-09-23;20:36;30.32;47.72
2015-09-23;20:42;30.32;47.72
2015-09-23;20:48;30.32;48.07
2015-09-23;20:54;30.64;47.9
2015-09-23;21:00;30.96;48.07
2015-09-23;21:06;30.64;48.07
2015-09-23;21:12;30.64;48.59
2015-09-23;21:18;30.0;48.59
2015-09-23;21:24;30.64;48.42
2015-09-23;21:30;30.32;48.42
2015-09-23;21:36;30.64;49.11
2015-09-24;14:18;31.61;38.88
2015-09-24;14:24;31.93;38.88
2015-09-24;14:30;31.93;38.36
2015-09-24;14:36;31.93;38.53
2015-09-24;14:42;31.93;38.36
2015-09-24;14:48;31.61;37.14
2015-09-24;14:54;32.25;34.89
2015-09-24;15:00;31.93;34.89
2015-09-24;15:18;32.58;34.02
